N_formulas,samples,batch_size,kernel_time_mean,kernel_time_std,transformer_time_mean,speedup
1000,500,1,0.4199179808298747,0.02307119485035111,8.136815547943115,0.051607164787706744
1000,500,8,0.4199179808298747,0.02307119485035111,3.300064484278361,0.12724538651604558
1000,500,16,0.4199179808298747,0.02307119485035111,3.055006424585978,0.13745240515714563
1000,500,32,0.4199179808298747,0.02307119485035111,2.9130961894989014,0.14414834029291262
1000,500,64,0.4199179808298747,0.02307119485035111,2.846048593521118,0.14754420630265982
1000,500,128,0.4199179808298747,0.02307119485035111,2.808927377065023,0.14949406818364822
1000,500,256,0.4199179808298747,0.02307119485035111,2.830005486806234,0.14838062427354787
1000,500,512,0.4199179808298747,0.02307119485035111,2.852163394292196,0.14722788381276564
1000,500,1024,0.4199179808298747,0.02307119485035111,2.8954011599222818,0.1450292921900833
1000,1000,1,0.5013407866160074,0.00035166723355506445,8.136815547943115,0.061613881212133424
1000,1000,8,0.5013407866160074,0.00035166723355506445,3.300064484278361,0.15191848189767654
1000,1000,16,0.5013407866160074,0.00035166723355506445,3.055006424585978,0.16410465869444132
1000,1000,32,0.5013407866160074,0.00035166723355506445,2.9130961894989014,0.17209894696345265
1000,1000,64,0.5013407866160074,0.00035166723355506445,2.846048593521118,0.1761532771286069
1000,1000,128,0.5013407866160074,0.00035166723355506445,2.808927377065023,0.17848122052192242
1000,1000,256,0.5013407866160074,0.00035166723355506445,2.830005486806234,0.17715187795688309
1000,1000,512,0.5013407866160074,0.00035166723355506445,2.852163394292196,0.17577561917360704
1000,1000,1024,0.5013407866160074,0.00035166723355506445,2.8954011599222818,0.17315071692154202
1000,2000,1,0.5620819727579752,0.0005579758973955797,8.136815547943115,0.06907886376999937
1000,2000,8,0.5620819727579752,0.0005579758973955797,3.300064484278361,0.17032454227356958
1000,2000,16,0.5620819727579752,0.0005579758973955797,3.055006424585978,0.18398716553735234
1000,2000,32,0.5620819727579752,0.0005579758973955797,2.9130961894989014,0.19295002162447036
1000,2000,64,0.5620819727579752,0.0005579758973955797,2.846048593521118,0.19749556421402137
1000,2000,128,0.5620819727579752,0.0005579758973955797,2.808927377065023,0.2001055553615916
1000,2000,256,0.5620819727579752,0.0005579758973955797,2.830005486806234,0.19861515300180763
1000,2000,512,0.5620819727579752,0.0005579758973955797,2.852163394292196,0.19707215017303162
1000,2000,1024,0.5620819727579752,0.0005579758973955797,2.8954011599222818,0.19412922137983207
1000,3000,1,0.6182653109232584,0.000526980943139763,8.136815547943115,0.07598369500701636
1000,3000,8,0.6182653109232584,0.000526980943139763,3.300064484278361,0.1873494635843327
1000,3000,16,0.6182653109232584,0.000526980943139763,3.055006424585978,0.20237774491981544
1000,3000,32,0.6182653109232584,0.000526980943139763,2.9130961894989014,0.2122364902168266
1000,3000,64,0.6182653109232584,0.000526980943139763,2.846048593521118,0.2172363860303395
1000,3000,128,0.6182653109232584,0.000526980943139763,2.808927377065023,0.22010726086100105
1000,3000,256,0.6182653109232584,0.000526980943139763,2.830005486806234,0.21846788418102814
1000,3000,512,0.6182653109232584,0.000526980943139763,2.852163394292196,0.2167706493115166
